Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
266880,266880,270013.0,0.649,0.562,-14.93,0.0333,0.225,0.18,0.0705,0.882,143.343,1.2332739534763146e-07,0,spotify:track:5QuQFz3QK3ILCpBgGHGss8
266881,266881,242919.0,0.448,0.0979,-14.075,0.0326,0.629,0.0681,0.0948,0.342,180.003,1.342011123049247e-07,0,spotify:track:5Qv6KzhJuP2PwCs0MqaFlg
266882,266882,195967.0,0.411,0.0479,-29.248,0.0431,0.993,0.913,0.126,0.242,143.328,2.1993498905427962e-07,3,spotify:track:5Qxt1qqgNGaoXUb0lSvaJJ
266883,266883,253500.0,0.209,0.24,-14.001,0.0335,0.574,0.845,0.112,0.0391,137.112,1.3214990138067062e-07,3,spotify:track:5QyKenCw8AlAmw4SdUp9Ex
266884,266884,201933.0,0.609,0.335,-9.378,0.0372,0.236,0.0,0.0595,0.342,85.077,1.84219518355098e-07,0,spotify:track:5QzdYVqeAPnlBfbuJQ2AaO
266885,266885,140749.0,0.556,0.197,-15.435,0.0728,0.914,0.335,0.0993,0.121,70.036,5.172328044959467e-07,0,spotify:track:5RJ46jBZjkTsRhOB09Vu4D
266886,266886,168500.0,0.662,0.279,-13.011,0.0298,0.7,0.862,0.104,0.175,119.96,1.768545994065282e-07,3,spotify:track:5RJCOpL0pBKCNLhQj1hE54
266887,266887,214371.0,0.58,0.183,-13.6,0.0321,0.978,0.0119,0.111,0.196,131.762,1.4974040331947885e-07,0,spotify:track:5RKUztud1fb5UhO4gljjl7
266888,266888,294893.0,0.576,0.75,-6.601,0.0352,0.191,0.0321,0.153,0.432,112.267,1.1936532911937554e-07,0,spotify:track:5RNXyqJaUIIabxQzFgvyDs
266889,266889,587672.0,0.261,0.734,-6.4,0.0491,0.0571,0.00668,0.205,0.203,125.361,8.35500074871697e-08,2,spotify:track:5RNfGG48vPGMPQnV6F7x30
266890,266890,229627.0,0.439,0.29,-18.147,0.0428,0.856,0.927,0.0504,0.387,115.413,1.8638923123151894e-07,3,spotify:track:5RPJftZtnJ9Ljg5tVWzcv5
266891,266891,277507.0,0.644,0.561,-7.118,0.0318,0.234,0.00359,0.104,0.0615,95.014,1.1459170399305245e-07,0,spotify:track:5RRNZFyOi17nTh2bPEKPtp
266892,266892,187933.0,0.292,0.731,-5.298,0.0518,3.3e-05,0.511,0.327,0.336,110.322,2.756301447856417e-07,2,spotify:track:5RRVyJpwac4DD2IAV8EQQn
266893,266893,173093.0,0.307,0.847,-4.215,0.0551,0.0215,0.0,0.0783,0.34,93.072,3.183259866083551e-07,1,spotify:track:5RRWirYSE08FPKD6Mx4v0V
266894,266894,158280.0,0.784,0.407,-9.495,0.145,0.328,0.2,0.0748,0.628,76.994,9.160980540813748e-07,0,spotify:track:5RUdWftSGte3F4QQCuL2me
266895,266895,170323.0,0.673,0.646,-10.138,0.0781,0.0122,0.0915,0.32,0.87,92.97,4.585405376842824e-07,1,spotify:track:5RWqaHs9ERIB2Wk8bs1CCH
266896,266896,238233.0,0.424,0.709,-4.868,0.0459,0.000717,0.0018,0.13,0.154,135.771,1.9266852199317482e-07,2,spotify:track:5RXYYESEdajUcPsl4x516t
266897,266897,409275.0,0.643,0.458,-11.502,0.0594,0.327,0.00394,0.0966,0.73,82.041,1.4513468938977464e-07,0,spotify:track:5RZbS87YI2wd87SWuO0YAX
266898,266898,168609.0,0.347,0.378,-9.96,0.0354,0.857,0.0,0.118,0.61,173.482,2.0995320534491042e-07,0,spotify:track:5ReIs3aH4wfBjp93QOtWAl
266899,266899,201373.0,0.292,0.324,-11.996,0.0346,0.797,0.000473,0.12,0.384,176.631,1.718204525929494e-07,0,spotify:track:5RgFlk1fcClZd0Y4SGYhqH
266900,266900,225747.0,0.556,0.764,-5.054,0.0503,0.115,0.0,0.203,0.465,122.84,2.228158070760631e-07,2,spotify:track:5RmIP2OglmIOvsOxrE43Xw
266901,266901,230800.0,0.531,0.821,-6.812,0.0439,0.0701,0.171,0.124,0.34,129.139,1.90207972270364e-07,1,spotify:track:5RoIXwyTCdyUjpMMkk4uPd
266902,266902,198187.0,0.254,0.129,-17.753,0.0323,0.98,0.311,0.087,0.0538,114.338,1.6297739004071913e-07,0,spotify:track:5RpkqG5pG6F3twW89jZrVN
266903,266903,201493.0,0.628,0.806,-8.748,0.0469,0.0181,0.9,0.633,0.42,125.964,2.3276242847146054e-07,1,spotify:track:5RsQSWL2T4NDSrpNrHc9vq
266904,266904,145792.0,0.686,0.867,-4.396,0.0449,0.0397,4.18e-05,0.396,0.691,126.068,3.079730026338894e-07,1,spotify:track:5Rse8If81NbzXL1ARjHOTB
266905,266905,278293.0,0.622,0.471,-7.105,0.0277,0.0448,0.0,0.0957,0.278,124.455,9.95353817738858e-08,1,spotify:track:5S5u0EWtlblH00iTNExZ6X
