Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
94520,94520,176827.0,0.675,0.698,-4.238,0.0549,0.0915,0.0,0.663,0.542,119.948,3.104729481357485e-07,1,spotify:track:39rTGk6MVeykS2Z8FJkYdl
94521,94521,141427.0,0.904,0.522,-9.589,0.295,0.254,0.0,0.0889,0.748,92.965,2.0858817623226115e-06,1,spotify:track:4CqPPBjuIaxn0pPoZ6XsMO
94522,94522,133755.0,0.766,0.453,-8.303,0.056,0.145,0.0,0.117,0.772,118.021,4.186759373481365e-07,1,spotify:track:6hgFVBbQYBMVlMHZwM6AP7
94523,94523,185583.0,0.578,0.875,-4.347,0.079,0.14,1.12e-06,0.175,0.83,169.994,4.256855423179925e-07,1,spotify:track:6IXWwaxcBVLqSbU39Pqc19
94524,94524,219400.0,0.402,0.905,-4.068,0.0295,0.133,0.0,0.256,0.498,172.932,1.3445761166818598e-07,0,spotify:track:2rEVJTkweG9QW6HPXyDJI4
94525,94525,208806.0,0.784,0.318,-8.735,0.0549,0.827,2.57e-05,0.104,0.587,83.972,2.629234792103675e-07,0,spotify:track:4rAwprLoQULEVb1UrGx9dW
94526,94526,186821.0,0.688,0.756,-5.831,0.0333,0.0731,0.00017,0.125,0.448,111.973,1.78245486321131e-07,1,spotify:track:3hrl7X2gSOJtTrK8qFpPHF
94527,94527,173531.0,0.56,0.371,-7.873,0.0418,0.747,0.0,0.11,0.18,135.828,2.4087915127556455e-07,0,spotify:track:2rZPw3dfHEcCGGYanVJS4k
94528,94528,166499.0,0.129,0.251,-13.674,0.0338,0.545,0.0138,0.0855,0.0416,76.63,2.0300422224758105e-07,0,spotify:track:4inAT5fFLhvhSBSBqwPbvm
94529,94529,240947.0,0.382,0.284,-10.516,0.0278,0.859,1.54e-05,0.119,0.286,155.925,1.1537807069604521e-07,0,spotify:track:13RMuZfKnEypuaQCWhHSZx
94530,94530,230577.0,0.74,0.759,-4.972,0.0356,0.0678,9.19e-06,0.088,0.631,100.015,1.54395277933185e-07,1,spotify:track:5FZNkiHoC7fbc30acoRpfb
94531,94531,175319.0,0.656,0.201,-8.987,0.0317,0.98,2.65e-05,0.104,0.436,87.39,1.808132603996144e-07,0,spotify:track:38M3eiPzW8pqOXmtvXgx4q
94532,94532,165529.0,0.473,0.375,-10.507,0.0355,0.384,0.0,0.259,0.351,169.7,2.1446393079158333e-07,0,spotify:track:0nPlaMV86iDMDKAXueGEFV
94533,94533,112747.0,0.633,0.441,-13.983,0.062,0.7,0.0,0.256,0.748,91.093,5.499037668408028e-07,0,spotify:track:52qdJ88vESWGhFo3Hu7WEH
94534,94534,134512.0,0.311,0.357,-11.647,0.0327,0.696,0.0,0.463,0.0926,100.038,2.43100987272511e-07,0,spotify:track:4AXX2fes8GOdvuCUjadbmT
94535,94535,206480.0,0.571,0.552,-8.766,0.0439,0.666,0.0,0.651,0.792,91.836,2.126113909337466e-07,1,spotify:track:6eou298JmAGYShrwYuLxJ2
94536,94536,227368.0,0.465,0.439,-10.894,0.0293,0.44,0.00439,0.13,0.464,76.0,1.288659793814433e-07,0,spotify:track:4fF3Vo7XYnHFXvyWD7sv2k
94537,94537,239280.0,0.507,0.66,-7.411,0.0476,0.217,0.0,0.1,0.355,161.876,1.989301237044467e-07,1,spotify:track:1Tu2vqQl3Oo7HaQP1AS38G
94538,94538,201197.0,0.572,0.733,-5.956,0.027,0.0368,0.0,0.0919,0.794,110.014,1.341968319607151e-07,1,spotify:track:4pIQoVY9KR0f5l9EQ8I6UQ
94539,94539,150697.0,0.497,0.463,-7.465,0.0272,0.714,0.000271,0.146,0.468,73.318,1.8049463492969338e-07,0,spotify:track:6B8tOwbbbvRkGBrFw2PJB1
94540,94540,207189.0,0.619,0.772,-4.662,0.0311,0.00104,0.0,0.148,0.394,118.481,1.501044939644479e-07,1,spotify:track:1Pm9TIkyMurchNraIuiRbD
94541,94541,256427.0,0.641,0.781,-5.082,0.0323,0.468,0.0,0.263,0.541,126.006,1.259617746961124e-07,1,spotify:track:4u3p9G8NEyF37rfQ0OHS4T
94542,94542,195000.0,0.521,0.543,-5.898,0.0286,0.754,0.0,0.327,0.287,73.052,1.4666666666666668e-07,0,spotify:track:7xVQOFm6ql6S1mJCsxH7TB
94543,94543,187969.0,0.712,0.727,-5.894,0.033,0.0262,8.03e-06,0.11,0.675,128.028,1.755608637594497e-07,1,spotify:track:7IguZUbEN3K37mQ2lTI4Uq
94544,94544,207867.0,0.61,0.711,-4.297,0.0341,0.000545,0.0,0.282,0.611,126.083,1.640472032597767e-07,2,spotify:track:5yqePwEEEahon0KlROPSr0
