Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
166800,166800,115907.0,0.316,0.981,-4.369,0.0685,0.000781,0.0148,0.458,0.68,152.922,5.909910531719396e-07,2,spotify:track:333q5dd9z9xMZldO8604eP
166801,166801,133293.0,0.597,0.887,-6.584,0.0406,0.000742,0.0345,0.188,0.88,93.031,3.045921391220845e-07,2,spotify:track:0ifvRvv2n52EkmRsp1Tl9O
166802,166802,64533.0,0.367,0.967,-6.053,0.125,0.0446,0.0,0.321,0.579,140.144,1.936993476205972e-06,2,spotify:track:2PcZQnb3YPD1mm0GcWDm1N
166803,166803,118827.0,0.482,0.946,-6.556,0.0934,0.0752,0.000424,0.0716,0.763,135.412,7.86016646048457e-07,2,spotify:track:15QL2K6OQxEyNrWropKx32
166804,166804,135707.0,0.507,0.853,-7.812,0.0542,0.00789,0.0,0.055,0.836,90.888,3.993898619820643e-07,2,spotify:track:7sj2WxsU2Ge8qOfWhpjtF0
166805,166805,220960.0,0.3,0.982,-5.515,0.0776,0.0166,0.183,0.364,0.554,154.89,3.511947863866763e-07,2,spotify:track:5pXi3W8nkjaIVAzGL0bUqd
166806,166806,135000.0,0.45,0.956,-4.875,0.0387,0.00206,0.682,0.235,0.945,125.525,2.8666666666666664e-07,2,spotify:track:2POo2Ry48jgcOCK60qFWYt
166807,166807,267227.0,0.614,0.978,-4.708,0.0633,0.0815,0.0,0.0964,0.484,108.186,2.3687726165394962e-07,1,spotify:track:025rOed6CNtQSEpGEP6nk3
166808,166808,180000.0,0.466,0.957,-2.774,0.0746,0.000359,0.0,0.339,0.631,175.552,4.144444444444445e-07,2,spotify:track:2NPgLYmPNJyWkqc3KmSwL4
166809,166809,228827.0,0.467,0.755,-7.42,0.048,0.00115,0.000563,0.0862,0.567,140.528,2.0976545599951059e-07,2,spotify:track:4TjVjA2NlIiczkDkjGxEhQ
166810,166810,125693.0,0.626,0.973,-3.97,0.0364,0.00128,0.000519,0.234,0.662,97.506,2.89594488157654e-07,2,spotify:track:5uEO9We3heI3m2HGQ7VaTX
166811,166811,149800.0,0.145,0.995,-4.377,0.412,0.000151,0.00496,0.147,0.134,190.709,2.750333778371161e-06,2,spotify:track:2XO0tJtBsNl20arRorjTEO
166812,166812,184693.0,0.216,0.956,-4.893,0.0442,2.74e-05,0.00053,0.0943,0.812,156.327,2.393160542088764e-07,2,spotify:track:26kuGKYue3Rswy8gp0Qsc7
166813,166813,220240.0,0.48,0.983,-5.167,0.0641,0.0002,0.00034,0.0784,0.229,132.403,2.9104613149291684e-07,2,spotify:track:2Omcm5f6sSYqlGKIuJccfq
166814,166814,137867.0,0.331,0.837,-8.107,0.0474,0.0829,0.00315,0.109,0.726,95.973,3.4380961361311985e-07,1,spotify:track:4PTlYrqZOgLpdoaJe1NObx
166815,166815,205296.0,0.535,0.952,-2.816,0.0621,0.00125,0.000388,0.118,0.603,99.985,3.024900631283611e-07,2,spotify:track:2yT4qUnBENXFXO6NwEJubL
166816,166816,266592.0,0.422,0.983,-4.586,0.132,0.000339,0.000205,0.155,0.544,194.712,4.951386388188693e-07,2,spotify:track:73cmEWStYQ45L2NfIf9E1f
