Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
205720,205720,444070.0,0.492,0.31,-14.973,0.0511,0.033,0.772,0.249,0.191,109.989,1.1507194811628797e-07,0,spotify:track:2G6T29uVX5qwYqkO3umzJ2
205721,205721,360705.0,0.805,0.404,-11.161,0.0481,0.0224,0.846,0.105,0.128,120.012,1.33349967424904e-07,0,spotify:track:4zSbFrERDuBdZ1Bio9uee4
205722,205722,282747.0,0.722,0.53,-11.049,0.0656,0.00172,0.944,0.0998,0.0903,123.005,2.320095350260127e-07,1,spotify:track:1Xgg0bhjK57PJ6WLYOi3oY
205723,205723,438621.0,0.811,0.461,-12.455,0.0791,0.479,0.919,0.0913,0.156,116.001,1.803379227168786e-07,3,spotify:track:4U98URsT54Agbj21VVT5pI
205724,205724,428989.0,0.787,0.473,-11.621,0.0513,0.667,0.845,0.15,0.0379,117.012,1.1958348582364582e-07,0,spotify:track:6JtdfcMud2Yvejkel4auXJ
205725,205725,400826.0,0.897,0.295,-10.705,0.123,0.304,0.925,0.12,0.117,110.998,3.0686632104703785e-07,3,spotify:track:5cZ6BcGeROlg3t8GEhNMsP
205726,205726,468772.0,0.817,0.477,-10.749,0.0797,0.183,0.842,0.0775,0.248,120.017,1.7001868712295105e-07,1,spotify:track:4ZAnmDRCGlPKQfC7Ggr5QL
205727,205727,474570.0,0.918,0.223,-15.279,0.0796,0.0689,0.836,0.111,0.288,108.995,1.6773078787112545e-07,3,spotify:track:7jEhKyuA1bKRoBTcRcdXsC
205728,205728,325707.0,0.916,0.355,-11.36,0.0413,0.188,0.844,0.107,0.462,118.0,1.2680108195402618e-07,0,spotify:track:3jGRshsJKBBW4smGwd1oxQ
205729,205729,374400.0,0.808,0.699,-8.646,0.439,0.17,0.419,0.291,0.51,125.033,1.172542735042735e-06,1,spotify:track:2ZLP77P7j08v58KcLgO3YW
205730,205730,567194.0,0.755,0.377,-11.92,0.177,0.639,0.636,0.321,0.0393,121.97,3.1206253944858373e-07,0,spotify:track:0BKHgXSyG6kquLakA4yNVB
205731,205731,566700.0,0.747,0.438,-11.484,0.044,0.199,0.778,0.224,0.26,120.01,7.76424916181401e-08,0,spotify:track:1PlR2AVveRIXYBcPo9JJTD
205732,205732,351880.0,0.525,0.333,-14.062,0.348,0.824,0.893,0.0911,0.224,180.034,9.889735136978515e-07,3,spotify:track:4NUALoeKDlkM3irR5GDrEH
205733,205733,375187.0,0.923,0.142,-14.098,0.0544,0.784,0.786,0.0981,0.406,100.016,1.449943628110782e-07,0,spotify:track:1ehb79WiJliRSwgPS3ZnT4
205734,205734,299730.0,0.832,0.213,-13.039,0.117,0.548,0.904,0.11,0.235,142.024,3.903513161845662e-07,3,spotify:track:7DB5RP6zdF2GicNnqCL2je
205735,205735,426667.0,0.727,0.64,-8.809,0.0363,0.38,0.744,0.655,0.0874,89.995,8.507805853276677e-08,0,spotify:track:06ihxcHC90rPqkkColGWYk
205736,205736,464341.0,0.707,0.371,-12.501,0.347,0.0479,0.883,0.0988,0.386,181.995,7.472956297203994e-07,1,spotify:track:0TdIfs58M9mhQA0Hl4hXoU
205737,205737,334280.0,0.859,0.611,-11.635,0.0469,0.0964,0.366,0.108,0.391,112.008,1.4030154361613017e-07,1,spotify:track:1vgxXKrwWUyGKC97yXbkAU
205738,205738,449644.0,0.743,0.483,-13.308,0.0827,0.0709,0.86,0.1,0.322,95.006,1.839232815293877e-07,1,spotify:track:6FJ31h1isXZIHDaSFeOQkv
205739,205739,390223.0,0.773,0.532,-11.297,0.0674,0.00278,0.86,0.0449,0.389,99.993,1.7272175140880986e-07,1,spotify:track:2mDpaQWRfsXtymj7JhVOEE
205740,205740,374944.0,0.746,0.471,-13.331,0.0401,0.0959,0.611,0.278,0.539,104.959,1.0694930442946148e-07,0,spotify:track:6IzG4TS9GJNl7g8rWhrvXO
205741,205741,499282.0,0.73,0.488,-9.117,0.0457,0.19,0.864,0.0527,0.097,121.003,9.153143914661457e-08,0,spotify:track:4yJFTRAv3gKq1syV2mG3fX
