Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
88960,88960,237080.0,0.613,0.704,-6.857,0.117,0.00182,0.0,0.322,0.766,150.071,4.935043023452e-07,1,spotify:track:6f0tRA7QVKIkZpYsXqxcOK
88961,88961,123456.0,0.579,0.784,-7.096,0.217,7.15e-06,0.0,0.0891,0.677,139.966,1.757711249351996e-06,2,spotify:track:64jhCRsaz3CylYsmMotZGO
88962,88962,169091.0,0.558,0.524,-11.125,0.386,0.409,0.388,0.126,0.391,87.3,2.2827944716158755e-06,0,spotify:track:7MSwnEwZjUvSGpLyH8pZVq
88963,88963,124500.0,0.853,0.301,-10.888,0.149,0.0486,0.11,0.115,0.455,79.992,1.1967871485943775e-06,0,spotify:track:68e4pMVR7dgvCZhTHQQdsQ
88964,88964,192608.0,0.575,0.422,-12.084,0.0503,0.121,0.0,0.109,0.326,149.892,2.611521847482971e-07,0,spotify:track:7tT6d13tU6qqC2UjjV5jA4
88965,88965,167174.0,0.544,0.415,-12.692,0.0785,0.0201,0.0,0.106,0.196,138.219,4.695706270113774e-07,1,spotify:track:1oogbq3GcnCAY0qrIm2RXC
88966,88966,302213.0,0.742,0.614,-10.138,0.0427,0.231,0.00332,0.0832,0.566,127.014,1.4129107616151526e-07,1,spotify:track:7ahAom5NZZVEMRynCruscZ
88967,88967,294419.0,0.796,0.79,-6.438,0.0432,0.00169,0.188,0.193,0.957,126.995,1.4672966078955504e-07,1,spotify:track:4i9V6pX0DUVtfLxADXb9co
88968,88968,255673.0,0.776,0.563,-8.84,0.0324,0.223,0.00611,0.0681,0.395,131.728,1.2672437058273657e-07,0,spotify:track:2N5CvukjQqiWxjzZLMqqBN
88969,88969,247361.0,0.745,0.589,-5.659,0.0382,0.136,6.36e-05,0.122,0.688,126.75,1.544301648198382e-07,1,spotify:track:48LssaV9HGhvHPYpT2uUev
