Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
19460,19460,136787.0,0.227,0.114,-23.224,0.0414,0.668,0.514,0.219,0.0354,137.478,3.0266034052943625e-07,3,spotify:track:6wAhJjceFMYC8dB6VCbTZs
19461,19461,201227.0,0.169,0.174,-24.116,0.0411,0.926,0.848,0.34,0.0876,61.996,2.0424694499247125e-07,3,spotify:track:6h4F6jI0Iq1ILL8j5QdU5F
19462,19462,142987.0,0.208,0.27,-15.052,0.0343,0.651,0.934,0.23,0.0373,101.534,2.398819473098953e-07,3,spotify:track:7c1r7gyHqCGZtMk8QYBwMu
19463,19463,122733.0,0.568,0.499,-13.774,0.0666,0.363,0.934,0.14,0.0504,158.972,5.426413434039745e-07,3,spotify:track:60zjPyQrYwyMJEAJGX5bZk
19464,19464,100027.0,0.247,0.0303,-26.784,0.0312,0.946,0.927,0.0996,0.0462,48.578,3.1191578273866054e-07,3,spotify:track:43oXeQRmj2dkecN9aIN5sv
19465,19465,142000.0,0.392,0.324,-11.514,0.0325,0.757,0.447,0.308,0.466,114.508,2.2887323943661974e-07,0,spotify:track:1eV95plndUabxrSkVNI5Iq
19466,19466,186216.0,0.265,0.499,-13.488,0.0518,0.66,0.879,0.066,0.182,75.308,2.7817158568544054e-07,3,spotify:track:4NyQ0OXI7INpOw4xV0lkYU
19467,19467,233784.0,0.0838,0.319,-17.362,0.0409,0.916,0.978,0.0914,0.0562,83.145,1.749478150771653e-07,3,spotify:track:0oijnNaaOsATfhz3y4O2ci
19468,19468,281917.0,0.0885,0.322,-14.111,0.042,0.839,0.946,0.141,0.0398,86.582,1.489800189417453e-07,3,spotify:track:4yOw22Wzs6fJqixWJxh0IG
19469,19469,241152.0,0.381,0.303,-15.017,0.0311,0.893,0.868,0.0892,0.169,74.846,1.2896430467091294e-07,3,spotify:track:1qiSgTZJlPtwo97GdLx9Jl
19470,19470,280933.0,0.118,0.249,-12.67,0.0413,0.76,0.957,0.108,0.0386,70.344,1.4701014120804606e-07,0,spotify:track:01ygBGB3uHq59Ct0NTXXqJ
19471,19471,244251.0,0.126,0.305,-15.554,0.0356,0.918,0.95,0.0904,0.069,84.904,1.4575170623661726e-07,3,spotify:track:732WsIAKgt9r4XAlpNsx8P
19472,19472,274499.0,0.0748,0.466,-13.842,0.0622,0.493,0.766,0.308,0.07,75.03,2.2659463240303242e-07,0,spotify:track:5tp512nGYz007b1zCofFIK
19473,19473,250937.0,0.401,0.716,-8.105,0.0357,0.481,0.954,0.16,0.246,95.035,1.4226678409321862e-07,0,spotify:track:78Krp041ua3HWk1eQttsUy
19474,19474,278735.0,0.176,0.409,-16.161,0.0793,0.906,0.938,0.109,0.0382,76.1,2.844996143290222e-07,3,spotify:track:6on2Zv6pzTXIKLor7HTdjg
19475,19475,149405.0,0.337,0.572,-11.829,0.0369,0.00615,0.78,0.232,0.237,142.498,2.469796860881497e-07,3,spotify:track:0P4MKHKC2Q0b4WTN7oT29j
19476,19476,186371.0,0.731,0.764,-7.735,0.0497,0.762,0.891,0.108,0.343,90.011,2.666723900177603e-07,1,spotify:track:32sbFqgELoxOzIKv1k43YJ
19477,19477,97787.0,0.166,0.138,-24.823,0.039,0.68,0.876,0.109,0.0371,111.034,3.988260198185853e-07,3,spotify:track:3JV4r75i0aHaitKHLERpSf
