Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
52820,52820,245333.0,0.663,0.593,-9.903,0.0389,0.135,0.0288,0.239,0.658,142.05,1.585599980434756e-07,0,spotify:track:3VpR45fnGNbhTsfb7N1jMf
52821,52821,245899.0,0.389,0.72,-5.465,0.0308,0.057,0.0,0.183,0.51,147.94,1.25254677733541e-07,1,spotify:track:3E9kjnz0hjlCAaNkpDAJLG
52822,52822,274320.0,0.641,0.618,-8.611,0.218,0.472,0.0,0.112,0.686,172.096,7.94692330125401e-07,1,spotify:track:5bjxmhNpDIORD10SmkNDrM
52823,52823,196427.0,0.574,0.44,-8.744,0.0301,0.39,0.0,0.184,0.573,132.979,1.5323758953707993e-07,1,spotify:track:1e0Pmif2OxVjXSPpsE40HX
52824,52824,153234.0,0.618,0.916,-4.289,0.103,0.752,0.0,0.0944,0.961,177.623,6.721745826644217e-07,2,spotify:track:0qMujfRhXLalSaDtN0PPMS
52825,52825,184520.0,0.692,0.552,-9.322,0.0752,0.689,0.0,0.0993,0.417,87.032,4.0754389768046827e-07,1,spotify:track:69rsLwERn6CaxwxErMGJML
52826,52826,191253.0,0.579,0.878,-5.396,0.145,0.29,0.0,0.789,0.88,165.972,7.581580419653547e-07,1,spotify:track:59tUXZ9dL0qkaa18WCfUnZ
52827,52827,239840.0,0.668,0.345,-10.559,0.0282,0.31,0.0143,0.134,0.444,81.504,1.1757838559039361e-07,0,spotify:track:0TFM1zfXiZfX2vffxSd7Tr
52828,52828,258147.0,0.605,0.503,-7.544,0.0308,0.747,5.1e-06,0.723,0.239,120.007,1.1931186494516694e-07,0,spotify:track:7phu6PYdCTt5gUcKDtRFoX
52829,52829,228587.0,0.533,0.732,-5.592,0.034,0.00499,2.25e-06,0.125,0.516,148.261,1.487398670965541e-07,2,spotify:track:6U7hJoo1kiTZI69cEF8uCD
52830,52830,242666.0,0.543,0.744,-5.907,0.0306,0.166,0.0,0.146,0.595,136.894,1.260992475254053e-07,1,spotify:track:2JDWDQCzd0K9mI5GEaToA8
52831,52831,127133.0,0.569,0.572,-10.194,0.0295,0.912,0.869,0.176,0.934,88.625,2.3204046156387405e-07,3,spotify:track:54pWr9QEBmSv4cL1YZfJhe
52832,52832,188267.0,0.59,0.959,-2.726,0.129,0.332,0.0,0.0805,0.748,139.949,6.85197087115639e-07,1,spotify:track:6Ddum4AUO07AIwMhQMsTb9
52833,52833,311240.0,0.444,0.442,-10.4,0.0342,0.259,0.000202,0.0497,0.696,99.772,1.0988304845135589e-07,1,spotify:track:0jkI0lBSaFuzwt6FDqziAM
52834,52834,240173.0,0.53,0.568,-7.162,0.0266,0.046,0.0,0.159,0.345,145.57,1.1075349851981697e-07,0,spotify:track:5z3lMhdrfOP7o3d3E8hEa4
52835,52835,190627.0,0.502,0.427,-7.615,0.0316,0.769,0.0,0.29,0.517,78.22,1.6576875259013678e-07,0,spotify:track:48vAc1itwWo8qMbpaZzUS6
52836,52836,601907.0,0.495,0.811,-4.138,0.0757,0.175,1.36e-05,0.155,0.345,122.328,1.257669374172422e-07,0,spotify:track:3ajTCBtuCbX6UsKtcdEGPh
52837,52837,208085.0,0.763,0.737,-5.491,0.0496,0.0302,0.0,0.0526,0.689,105.006,2.383641300430113e-07,1,spotify:track:3wttFoWtczHpQsTgtbN85E
52838,52838,162707.0,0.664,0.775,-4.601,0.207,0.757,2.28e-06,0.0874,0.914,160.724,1.272225534242534e-06,1,spotify:track:5qMfl9sJQN2ernHq3kB6mT
52839,52839,201827.0,0.597,0.979,-2.676,0.0722,0.0637,1.15e-05,0.389,0.75,134.972,3.577321171101983e-07,2,spotify:track:2u6s2syrvEngTM3Ejm3dQh
52840,52840,136120.0,0.534,0.635,-11.499,0.0531,0.816,1.82e-05,0.14,0.932,146.462,3.900969732588892e-07,1,spotify:track:5gEc0tKPkuOjyJfbAp3QgA
52841,52841,219827.0,0.725,0.733,-6.66,0.0242,0.508,0.0,0.173,0.843,100.311,1.1008656807398545e-07,1,spotify:track:23qDMWnwf8p0pr5slljB6i
52842,52842,220125.0,0.613,0.709,-7.408,0.0387,0.0819,0.0,0.11,0.523,134.972,1.75809199318569e-07,1,spotify:track:5BzDjeCZYxDd35rYSWY0yk
52843,52843,233000.0,0.763,0.786,-5.359,0.0267,0.367,1.61e-06,0.386,0.804,122.039,1.1459227467811161e-07,1,spotify:track:2n9n090a0SH9McqY8B7gni
52844,52844,250493.0,0.663,0.713,-5.261,0.0511,0.201,0.0,0.44,0.612,85.039,2.0399771650305602e-07,1,spotify:track:46gKSJCAUa5P3PKDaLyt3x
52845,52845,241320.0,0.61,0.685,-5.052,0.041,0.173,0.0,0.301,0.432,79.945,1.698988894414056e-07,1,spotify:track:73MUx2ZAvli9uPUZriKfi1
52846,52846,201453.0,0.697,0.794,-5.109,0.0444,0.232,0.0,0.331,0.689,103.031,2.2039880269839617e-07,1,spotify:track:0UhuBPpuEYtnHSQKtQi0VU
52847,52847,215400.0,0.806,0.601,-8.991,0.105,0.00173,0.0,0.0454,0.89,128.024,4.874651810584958e-07,1,spotify:track:1aHGB9ktzblhNAdbwz2NQA
52848,52848,184733.0,0.54,0.54,-9.883,0.0289,0.422,2.08e-05,0.603,0.782,137.277,1.5644200007578506e-07,1,spotify:track:7Emb98wlYwHPgzezfgfL4P
52849,52849,150653.0,0.626,0.584,-10.317,0.0887,0.807,0.000422,0.125,0.841,183.243,5.887702203075942e-07,1,spotify:track:6nGAVc9i8gmC0IBUVf2DoG
52850,52850,183044.0,0.581,0.354,-8.717,0.043,0.358,0.0,0.124,0.276,138.134,2.349161950132209e-07,0,spotify:track:3Y1VJFDtczTL5s9Wi2JM6s
52851,52851,230400.0,0.712,0.633,-11.593,0.055,0.4,0.000231,0.157,0.884,90.401,2.3871527777777776e-07,1,spotify:track:1O2AIet2IjgK6A4vrJQPAK
52852,52852,167093.0,0.637,0.537,-12.905,0.0275,0.193,0.00284,0.3,0.717,96.421,1.645790069003489e-07,0,spotify:track:1wMpYYtuCFD379T4OOHqKy
52853,52853,171533.0,0.661,0.652,-8.713,0.0262,0.168,0.000677,0.097,0.734,92.899,1.527402890405928e-07,0,spotify:track:3XWHqWqzXc0x8VIxlD2eZu
52854,52854,162052.0,0.553,0.706,-10.801,0.0401,0.757,0.0,0.295,0.961,166.315,2.4745143534174214e-07,1,spotify:track:7FfFvOeSXOa6NwzmV8NyFH
52855,52855,164440.0,0.834,0.537,-10.145,0.039,0.736,0.0101,0.115,0.722,105.434,2.371685721235709e-07,0,spotify:track:3hdWwVMzWXuYLnnyLVSi6N
52856,52856,146760.0,0.603,0.724,-9.869,0.173,0.569,0.0,0.2,0.942,164.524,1.1787953120741346e-06,1,spotify:track:3dOA7vDCOA0rV6zsY2d0ZV
52857,52857,286160.0,0.663,0.376,-16.6,0.0355,0.657,0.000405,0.0893,0.502,122.965,1.2405647190383002e-07,0,spotify:track:2w1rMUWm2Ht8JBplHf0biN
52858,52858,164200.0,0.513,0.346,-11.697,0.0272,0.626,0.00091,0.198,0.492,106.052,1.656516443361754e-07,0,spotify:track:4qdGAV9G9q9dcXBr2Dw2YP
52859,52859,168613.0,0.532,0.455,-10.071,0.0283,0.669,0.000335,0.13,0.861,77.875,1.678399648900144e-07,0,spotify:track:7zwF7Ucz6UpIDOH9CTExcE
