Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
250200,250200,217693.0,0.709,0.828,-5.192,0.0534,0.0156,0.0,0.0358,0.775,125.507,2.452995732522406e-07,1,spotify:track:2FbkxLsDnOOJUsp61T8MiA
250201,250201,350640.0,0.654,0.757,-6.253,0.0289,0.241,5.83e-06,0.164,0.484,112.238,8.24207164042893e-08,1,spotify:track:4Qra9Y35hVcm07hn0H7KEC
250202,250202,304467.0,0.442,0.723,-7.006,0.0844,0.134,0.0,0.72,0.71,125.073,2.772057398667179e-07,1,spotify:track:4kjx1KwBTLtIb6eXbIqlcn
250203,250203,717893.0,0.398,0.596,-10.195,0.0866,0.246,1.03e-06,0.162,0.354,103.564,1.2063079038241078e-07,1,spotify:track:5PqexgzDavYNzkW8b7YW4u
250204,250204,588600.0,0.207,0.868,-6.21,0.0703,0.231,0.00334,0.361,0.424,165.992,1.194359497111791e-07,0,spotify:track:3su4m75DiNb1cFVPzd1nD9
250205,250205,184880.0,0.436,0.375,-13.856,0.0284,0.165,0.0,0.294,0.49,107.386,1.536131544785807e-07,0,spotify:track:39CGrUZUozjtjgAASzzB56
250206,250206,269227.0,0.555,0.649,-13.345,0.0302,0.234,0.0695,0.0554,0.596,101.743,1.121729989934145e-07,0,spotify:track:73bzcsDjx9FqzqKWcPLMiH
250207,250207,326707.0,0.586,0.234,-14.195,0.0277,0.755,1.53e-05,0.0893,0.334,94.643,8.478544995974987e-08,0,spotify:track:7FTLcRHtraE56nzsEg1wJJ
250208,250208,397707.0,0.511,0.511,-8.801,0.0328,0.675,7.47e-05,0.979,0.247,65.979,8.24727751837408e-08,0,spotify:track:2McC2yGhSRW3DePKcCooQS
250209,250209,250670.0,0.464,0.913,-4.215,0.18,0.141,0.0,0.173,0.667,164.092,7.180755575058842e-07,2,spotify:track:04MGO8KdFKUcqQY3qVX0U4
250210,250210,171600.0,0.699,0.66,-12.886,0.0608,0.0575,9.21e-06,0.0437,0.974,140.214,3.543123543123543e-07,1,spotify:track:1QTtPpUQ1m5nnMR8dVTaUC
250211,250211,194467.0,0.715,0.421,-16.239,0.0411,0.427,9.27e-06,0.0737,0.828,125.56,2.113469123295984e-07,1,spotify:track:6OHnfQFds5t3Ws2LEd1wjh
250212,250212,267747.0,0.837,0.407,-12.416,0.0563,0.435,0.000487,0.174,0.922,105.013,2.102731309781249e-07,0,spotify:track:5AW06u82yN9agtQlINqny5
250213,250213,374733.0,0.511,0.511,-9.744,0.0385,0.453,0.000401,0.166,0.253,130.917,1.0273981741666733e-07,0,spotify:track:6kGNTI0siWVMVzhaiTgUX6
250214,250214,319813.0,0.698,0.711,-5.591,0.0286,0.027,0.000186,0.0757,0.783,125.478,8.942725905450998e-08,1,spotify:track:2yRV9D9lu5ZacXvDAkONo2
250215,250215,224613.0,0.634,0.833,-5.117,0.0323,0.165,4.63e-05,0.162,0.799,129.587,1.4380289653760024e-07,1,spotify:track:4ewmSyDLQ8Bl3Y6nRQsL7Q
250216,250216,307800.0,0.604,0.704,-7.695,0.0365,0.494,0.000647,0.0761,0.587,128.496,1.1858349577647825e-07,1,spotify:track:0M4XhhlpLOuASct8J8MZe5
250217,250217,279819.0,0.616,0.949,-5.47,0.0369,0.0852,5.75e-05,0.519,0.7,97.859,1.318709594416391e-07,1,spotify:track:2ilhzCNSsc4XhnyypGUEQX
250218,250218,237973.0,0.466,0.548,-8.321,0.0252,0.0928,0.0,0.293,0.439,109.964,1.0589436616759044e-07,0,spotify:track:3OZ40egQbNWeTe0BnR2QKa
250219,250219,250760.0,0.634,0.804,-6.74,0.0329,0.00363,0.00499,0.347,0.719,147.335,1.3120114850853406e-07,2,spotify:track:4zmx3vEPgRPjRT2CszUsZo
250220,250220,194739.0,0.548,0.829,-4.103,0.285,0.339,0.0,0.537,0.452,93.62,1.4634972963813105e-06,1,spotify:track:7g8rz7xe0G4Go0tTZAXcOx
250221,250221,207214.0,0.724,0.843,-6.74,0.0617,0.517,0.0,0.12,0.811,152.043,2.977598038742556e-07,1,spotify:track:2aQwdBWk4vSPWk1Csgtzdo
250222,250222,210197.0,0.671,0.565,-7.401,0.16,0.274,6.51e-05,0.37,0.561,150.014,7.61190692540807e-07,1,spotify:track:30z4LVkScpeNhwHFIB8Ewa
