Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
102860,102860,237600.0,0.303,0.804,-10.868,0.415,0.334,9.7e-06,0.127,0.0393,89.04,1.7466329966329966e-06,0,spotify:track:0p22z5VEL74mhqwskdJ2Qp
102861,102861,210000.0,0.459,0.979,-7.849,0.26,0.00103,0.798,0.0636,0.235,133.97,1.2380952380952382e-06,2,spotify:track:3qLZDGBAoFx0W4P0ER61tZ
102862,102862,238059.0,0.405,0.986,-4.958,0.146,1.91e-05,0.0004,0.417,0.184,74.974,6.132933432468421e-07,2,spotify:track:0e9zE1abNBBimaNHe3Yr3q
102863,102863,282222.0,0.537,0.955,-3.185,0.0756,1.75e-05,0.00137,0.121,0.232,134.988,2.6787422667261945e-07,2,spotify:track:0erDxVnlaeecxYgj7X8vIZ
102864,102864,268234.0,0.445,0.754,-6.831,0.0386,0.0208,0.0,0.276,0.637,178.076,1.4390420304659365e-07,1,spotify:track:7kNSWbV2gk2omMpRPlqlqI
102865,102865,182879.0,0.473,0.953,-4.532,0.049,0.0378,0.0,0.134,0.393,130.033,2.679367231885564e-07,2,spotify:track:01Vee7Qkd3xTqrPmTOrRaw
102866,102866,202304.0,0.292,0.972,-3.388,0.212,9.3e-05,0.605,0.0862,0.0749,137.789,1.0479278709269215e-06,2,spotify:track:1t5lubrny6ZgDnYXUi47mL
102867,102867,176758.0,0.537,0.961,-6.68,0.0732,0.000324,0.115,0.335,0.122,98.966,4.141255275574514e-07,2,spotify:track:6UjYtjkT05EL5NOkZ779AM
102868,102868,232000.0,0.541,0.95,-5.82,0.112,4.71e-05,0.601,0.0781,0.198,120.057,4.827586206896552e-07,2,spotify:track:0pqrI84myxhNELlJtHFY3v
102869,102869,238307.0,0.354,0.985,-5.169,0.15,1.21e-05,0.456,0.375,0.298,200.115,6.294401759075478e-07,2,spotify:track:74t0X4hBcCcB2n06luLQ3w
102870,102870,208125.0,0.556,0.951,-3.179,0.0729,0.000464,0.0,0.292,0.482,128.051,3.502702702702703e-07,2,spotify:track:0OmcsdbwTjyR0f22EzhYDk
102871,102871,396773.0,0.517,0.639,-6.438,0.0303,0.000258,0.0,0.316,0.0601,121.059,7.636608337764918e-08,0,spotify:track:0BKJCcMfWaOLRX0YWb9oFe
102872,102872,295227.0,0.365,0.923,-4.459,0.139,0.00103,0.0,0.391,0.203,177.988,4.708241454880482e-07,2,spotify:track:3In1CjNcgFKQmzpVwoLSQy
102873,102873,223789.0,0.327,0.978,-5.064,0.225,0.000236,0.000716,0.305,0.558,184.999,1.0054113472958903e-06,2,spotify:track:1lyvc5SYSRCBvsb5LS5kgg
102874,102874,201149.0,0.51,0.985,-5.931,0.175,7.14e-05,0.00915,0.334,0.0961,92.496,8.700018394324604e-07,2,spotify:track:7FlmaMQaNj1j6GAveY60h0
102875,102875,216831.0,0.555,0.988,-3.963,0.124,0.000143,0.00073,0.131,0.145,109.951,5.718739479133518e-07,2,spotify:track:4RucVkZg8bVXPOlIGJG6h8
102876,102876,165747.0,0.502,0.905,-5.658,0.0713,0.00151,0.0,0.305,0.405,135.001,4.3017369846814724e-07,2,spotify:track:2eEGAUSEA7IFhEcgWcGWkq
102877,102877,290840.0,0.364,0.813,-5.6,0.106,0.00117,0.00552,0.169,0.194,139.874,3.644615596204098e-07,2,spotify:track:4lnVxPqbOy9e73wt1sKh9e
102878,102878,200880.0,0.573,0.958,-5.814,0.0707,0.000496,0.000274,0.194,0.594,116.019,3.519514137793708e-07,2,spotify:track:4CWnguFJBCnt3vrJL67uBx
102879,102879,303800.0,0.404,0.924,-4.677,0.053,0.000234,0.000144,0.152,0.378,180.212,1.7445687952600396e-07,2,spotify:track:4Hja2rg7lq8eYof8bUu1cv
102880,102880,165053.0,0.528,0.949,-4.837,0.0545,4.41e-06,1.01e-05,0.236,0.217,137.042,3.3019696703483125e-07,2,spotify:track:05o2xhSbqGmKltsjDSdy7b
