Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
66720,66720,225426.0,0.471,0.16,-17.183,0.0762,0.991,0.913,0.161,0.0926,100.535,3.3802666950573585e-07,3,spotify:track:41vHygTXbqMuUo63j3IavF
66721,66721,206861.0,0.486,0.211,-16.913,0.0537,0.983,0.864,0.103,0.481,175.985,2.595946070066373e-07,3,spotify:track:5TNMmzNJ6YicGTn0CO49ND
66722,66722,84584.0,0.508,0.123,-13.076,0.0337,0.987,0.844,0.0953,0.127,78.96,3.984205050600586e-07,3,spotify:track:1BEtrQSOOb7jdffB6IoD3N
66723,66723,133163.0,0.655,0.369,-11.058,0.0669,0.991,0.867,0.0955,0.805,114.415,5.023918055315666e-07,3,spotify:track:1RDQoUE3pE44TOKKKP8FQC
66724,66724,155909.0,0.686,0.303,-12.548,0.0634,0.966,0.892,0.103,0.646,150.028,4.066474674329256e-07,3,spotify:track:3Ak0AtnSK0QECEPKHupxkC
66725,66725,228389.0,0.728,0.34,-18.251,0.0748,0.859,0.909,0.0711,0.641,119.99,3.275113950321601e-07,3,spotify:track:6HdakporMT8TEN1oBpCKl1
66726,66726,139036.0,0.515,0.0157,-28.845,0.0447,0.993,0.966,0.0716,0.108,92.597,3.214994677637446e-07,3,spotify:track:1ozLWI0GC1f0BCafAaUdx7
66727,66727,184781.0,0.62,0.371,-16.435,0.0481,0.977,0.842,0.0899,0.18,114.944,2.603081485650581e-07,3,spotify:track:5RE32waR7pe72PoTbQO6VS
66728,66728,182816.0,0.77,0.334,-10.357,0.0704,0.98,0.903,0.102,0.725,130.066,3.850866444950114e-07,3,spotify:track:21GMtDlD4pvi7JN2hRM5Qv
66729,66729,191499.0,0.392,0.219,-12.118,0.0391,0.966,0.917,0.0921,0.621,117.674,2.0417861189875665e-07,3,spotify:track:610p0uyxEu4qzVVJ853otP
66730,66730,212632.0,0.716,0.294,-15.889,0.0459,0.973,0.84,0.11,0.809,101.987,2.158659091764175e-07,3,spotify:track:3nveejcAcoLo0GbQ0meZ1K
66731,66731,200907.0,0.347,0.0523,-20.952,0.0342,0.99,0.945,0.185,0.138,130.377,1.702280159476773e-07,3,spotify:track:0d2jEkvq1aUlQlpin2slC8
66732,66732,136261.0,0.808,0.154,-12.779,0.0716,0.891,0.808,0.105,0.199,85.066,5.254621645224972e-07,0,spotify:track:7GMnw8RukplHysVYkXRUlm
66733,66733,165320.0,0.424,0.471,-8.933,0.0526,0.837,0.829,0.378,0.944,63.114,3.181708202274377e-07,3,spotify:track:5NO96KkIVx6AdOTV77C4Ck
66734,66734,147255.0,0.594,0.172,-15.82,0.0422,0.872,0.717,0.103,0.292,72.658,2.86577705341075e-07,0,spotify:track:40DiuuFQbqp164cuqNdCIA
66735,66735,243827.0,0.403,0.27,-13.833,0.0316,0.903,0.0284,0.105,0.435,179.809,1.296000853063853e-07,0,spotify:track:4BchPWoixASi7GfFompkIJ
66736,66736,204166.0,0.421,0.09,-18.287,0.0479,0.989,0.876,0.125,0.178,60.038,2.3461301098126045e-07,3,spotify:track:5yrbqTvILXJAIFm12ueQcK
66737,66737,207996.0,0.529,0.131,-16.843,0.0896,0.994,0.941,0.108,0.126,102.115,4.307775149522106e-07,3,spotify:track:6xzI65ujC9oFXr7jtYudZu
66738,66738,171688.0,0.529,0.431,-6.323,0.057,0.675,0.00152,0.102,0.168,82.869,3.319975770001398e-07,0,spotify:track:53Tfvtz3yKpKSevEiC77wu
66739,66739,233897.0,0.357,0.0726,-20.622,0.0516,0.986,0.905,0.0847,0.239,71.764,2.2060992659161938e-07,3,spotify:track:2DRTLUF6iPP9S0yJgANMxO
66740,66740,123470.0,0.868,0.479,-10.491,0.145,0.891,0.941,0.0989,0.543,110.097,1.1743743419454115e-06,3,spotify:track:7wg7dmX824pIbY8ONfbgAz
66741,66741,117002.0,0.631,0.0779,-21.761,0.0888,0.991,0.942,0.134,0.311,82.84,7.589613852754654e-07,3,spotify:track:2gPZknA95eTef8yib3bXA8
66742,66742,194170.0,0.554,0.204,-14.811,0.0543,0.991,0.932,0.138,0.0633,134.384,2.796518514703611e-07,3,spotify:track:0MYd36Y7EsybTbufyNRKAn
66743,66743,334451.0,0.576,0.0555,-30.069,0.0471,0.993,0.94,0.105,0.0532,148.041,1.408278043719409e-07,3,spotify:track:3Ow2UnS46nGFXyl4UkYebK
66744,66744,179847.0,0.455,0.266,-17.149,0.0608,0.987,0.937,0.124,0.146,99.301,3.380651331409476e-07,3,spotify:track:74kyZs3EDdJjWeTY2vPesG
66745,66745,144347.0,0.35,0.155,-18.46,0.0511,0.989,0.923,0.147,0.147,192.844,3.540080500460696e-07,3,spotify:track:3TKBtgtJSnH7XZN2Z628vT
66746,66746,146706.0,0.564,0.278,-11.778,0.0331,0.87,0.00918,0.0938,0.33,107.761,2.256213106485079e-07,0,spotify:track:0iH7gzZzfhKOOFJYRN4oAB
66747,66747,110696.0,0.693,0.264,-10.812,0.0315,0.912,0.894,0.115,0.46,100.898,2.845631278456313e-07,3,spotify:track:7zQejxywqVxvAB56WVlJV6
66748,66748,267809.0,0.613,0.254,-9.005,0.0401,0.838,0.0488,0.115,0.127,157.982,1.4973357878189308e-07,0,spotify:track:3PM9wJinoN6SOrYMyD9OIC
66749,66749,135040.0,0.881,0.389,-8.921,0.0904,0.943,0.917,0.101,0.64,123.997,6.694312796208531e-07,3,spotify:track:57EzImH75KL4o1UD2JZvv9
66750,66750,126656.0,0.774,0.315,-7.508,0.07,0.969,0.913,0.124,0.216,114.522,5.52678120262759e-07,3,spotify:track:5ZEXmUHVvu8DHp0QWq0EAl
66751,66751,263078.0,0.412,0.0803,-24.486,0.0591,0.989,0.938,0.0984,0.118,128.423,2.2464820319448986e-07,3,spotify:track:15ZbeheZ4y21ruWjIlzUb1
66752,66752,168166.0,0.542,0.13,-17.745,0.0503,0.991,0.899,0.0908,0.27,109.199,2.991092135152171e-07,3,spotify:track:77i3pnU23eRWNIaqi6ckcj
66753,66753,168164.0,0.731,0.218,-12.917,0.0468,0.912,0.931,0.0872,0.392,123.512,2.782997550010704e-07,3,spotify:track:7DYSQVZdpSs8DqMLtP9hjb
66754,66754,205080.0,0.503,0.126,-15.464,0.0387,0.906,0.773,0.108,0.186,83.557,1.8870684610883565e-07,0,spotify:track:1YTirJpIZARdMpMYspPo0Y
66755,66755,194506.0,0.683,0.189,-19.521,0.0544,0.989,0.915,0.107,0.117,128.125,2.796828889597236e-07,3,spotify:track:22BPRyDGzJcya0tB0nNjkw
66756,66756,228000.0,0.309,0.0423,-27.865,0.0423,0.936,0.856,0.0643,0.0396,69.943,1.855263157894737e-07,3,spotify:track:1q1T0TbFO2fWkDmgCKwTB0
66757,66757,182323.0,0.497,0.106,-16.763,0.0478,0.99,0.906,0.155,0.0584,68.227,2.6217207922204e-07,3,spotify:track:6IamvcHp2XrLsYWIsXAs6W
66758,66758,166853.0,0.6,0.371,-14.744,0.0424,0.756,0.735,0.154,0.395,82.552,2.541158984255602e-07,0,spotify:track:4s1YIHZQVZHztUJJAdY57J
66759,66759,212550.0,0.543,0.209,-16.89,0.0396,0.981,0.929,0.117,0.296,72.391,1.8630910374029645e-07,3,spotify:track:7AGSjuuV5TRcIdbr5APBCV
66760,66760,209006.0,0.476,0.23,-18.02,0.0434,0.989,0.926,0.179,0.0854,95.743,2.0764954116149775e-07,3,spotify:track:5wXwBY70r3Gu5i2IDhMGle
66761,66761,174516.0,0.503,0.182,-15.92,0.0583,0.989,0.911,0.116,0.202,96.936,3.34066790437553e-07,3,spotify:track:0IkV2YqLBVsLrsm4ycVn2w
66762,66762,166048.0,0.629,0.404,-11.14,0.049,0.835,0.706,0.106,0.469,140.001,2.9509539410291e-07,0,spotify:track:1w18QEME2WDke5CCiI0Pws
66763,66763,168717.0,0.683,0.378,-9.41,0.0553,0.734,0.839,0.103,0.371,142.83,3.277678005180273e-07,0,spotify:track:3Dys7jJfkd4UOykn8SVY9T
66764,66764,135730.0,0.52,0.292,-15.771,0.0636,0.908,0.898,0.0895,0.346,166.135,4.6857732262580123e-07,3,spotify:track:4SmeSLQ4gdSdVNfJu9TNXI
66765,66765,129482.0,0.781,0.223,-11.126,0.0653,0.907,0.44,0.107,0.462,79.026,5.043172023910659e-07,0,spotify:track:6F0zuV20MJqisv13pcGjFZ
66766,66766,174014.0,0.678,0.144,-13.474,0.0452,0.916,0.0406,0.109,0.217,132.795,2.597492155803556e-07,0,spotify:track:4fZbCZw88MklDHdKnN6sVw
66767,66767,223367.0,0.548,0.208,-16.766,0.0555,0.979,0.922,0.165,0.195,139.303,2.48470006760175e-07,3,spotify:track:5uMtYRyqukpjLh24dKWoHP
66768,66768,168627.0,0.2,0.178,-14.343,0.0414,0.977,0.87,0.115,0.176,81.631,2.455122845095981e-07,3,spotify:track:4BDSVeSR26kux7TWzT96yI
66769,66769,145724.0,0.463,0.0316,-29.564,0.0566,0.995,0.946,0.0663,0.209,99.182,3.884054788504296e-07,3,spotify:track:58cGVTWIpbFOdoB2IWTyHm
66770,66770,148506.0,0.546,0.085,-21.802,0.17,0.993,0.931,0.0964,0.249,144.237,1.1447348928662815e-06,3,spotify:track:4HuMj8gAl1qb1rCMjhi69j
66771,66771,227114.0,0.581,0.189,-11.941,0.0649,0.824,0.879,0.109,0.207,97.821,2.857595744868216e-07,3,spotify:track:3M7XhueJoJtX27v9d5wtid
66772,66772,200219.0,0.387,0.223,-17.088,0.0565,0.984,0.913,0.116,0.168,78.528,2.821910008540648e-07,3,spotify:track:2Gp4snGHYn6rx4ivMrsvPy
66773,66773,214613.0,0.423,0.355,-10.565,0.0454,0.761,0.0,0.0915,0.465,93.788,2.115435691220942e-07,0,spotify:track:0HFxZvViHzxYpavybvKVq9
66774,66774,216120.0,0.812,0.471,-8.314,0.0404,0.303,0.0,0.104,0.756,102.964,1.8693318526744402e-07,1,spotify:track:5QKk5N5xJQGsWMhPM80Kfv
66775,66775,180946.0,0.66,0.334,-10.474,0.0347,0.747,0.0,0.0868,0.26,125.939,1.917699203077161e-07,0,spotify:track:6h7rxUcbbsjD3ooBv0EIpQ
66776,66776,224151.0,0.71,0.538,-7.292,0.0316,0.345,1.1e-06,0.108,0.368,100.994,1.4097639537633113e-07,1,spotify:track:7BdR0he8VuKnBK94I8FlWf
66777,66777,163280.0,0.497,0.483,-6.045,0.037,0.691,1.57e-06,0.109,0.438,142.185,2.266046055854973e-07,0,spotify:track:3HPX9a7oh0dvdokOUp85cL
66778,66778,163328.0,0.463,0.583,-7.536,0.034,0.13,3.02e-06,0.379,0.398,80.071,2.081700626959248e-07,1,spotify:track:3f3eX1P1jcRAmnBggOCRo3
66779,66779,257213.0,0.596,0.563,-7.252,0.293,0.153,0.0,0.0283,0.678,139.893,1.1391337140813257e-06,1,spotify:track:6740sbqgB64LZopHUEiBG8
66780,66780,177907.0,0.755,0.674,-8.768,0.0401,0.337,0.00014,0.215,0.675,115.967,2.2539866334658e-07,1,spotify:track:7rG124oZJ9AGJbVeDh46U9
66781,66781,142440.0,0.509,0.426,-13.167,0.123,0.498,1.45e-06,0.746,0.672,122.788,8.635214827295703e-07,0,spotify:track:4YLKSQgmCpl3TS1k4p7rpS
66782,66782,117693.0,0.234,0.422,-8.355,0.0361,0.919,2.68e-06,0.152,0.108,86.047,3.067302218483682e-07,0,spotify:track:3iz6uRuJnFy3iXnKKh4dnK
66783,66783,176467.0,0.221,0.355,-9.469,0.0389,0.681,0.00265,0.067,0.15,68.903,2.2043781556891658e-07,0,spotify:track:2ufkOFn5LKYNoAdss0GUKR
66784,66784,50565.0,0.621,0.4,-6.532,0.0767,0.888,0.0,0.196,0.848,113.605,1.5168594877879955e-06,0,spotify:track:5tsiVaup3IdqXrqItieZLY
66785,66785,175280.0,0.718,0.88,-7.567,0.11,0.0223,0.0,0.908,0.814,124.007,6.275673208580557e-07,1,spotify:track:1DgS5IMm8ffbZ78GbIPlOM
