Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
214060,214060,264122.0,0.535,0.0708,-22.327,0.045,0.95,0.00779,0.0874,0.244,73.91,1.7037581117816768e-07,0,spotify:track:5v9iJSk2leCP8JCGpIzEkr
214061,214061,573560.0,0.445,0.344,-12.512,0.0347,0.825,0.692,0.102,0.0585,90.032,6.049933747123231e-08,0,spotify:track:2VRPh5XV5S63fzIoCK3gl9
214062,214062,1035668.0,0.486,0.249,-16.467,0.0631,0.683,0.185,0.0855,0.374,159.951,6.092686073143133e-08,0,spotify:track:2G3hqJI3UTykUcSsAYEDXr
214063,214063,257613.0,0.0625,0.135,-16.803,0.042,0.969,0.557,0.0756,0.0921,57.026,1.6303525055024397e-07,0,spotify:track:7jHCgnbPF3Dwf3c2kDtBjw
214064,214064,161466.0,0.159,0.123,-26.301,0.0652,0.864,0.762,0.104,0.0498,131.552,4.038001808430258e-07,3,spotify:track:4QrLwgJt0OGkUFBbQKk0fL
214065,214065,292107.0,0.295,0.131,-19.197,0.0336,0.85,0.867,0.112,0.0372,66.141,1.150263430866087e-07,3,spotify:track:0bUc8riTPP0mEWAmgm7j5l
214066,214066,344933.0,0.549,0.252,-18.075,0.0295,0.518,0.837,0.09,0.0373,106.069,8.552385535741723e-08,3,spotify:track:0fU5YYb6hITnpTzX7WmdqL
214067,214067,437535.0,0.237,0.0376,-14.364,0.04,0.961,0.805,0.127,0.052,100.491,9.14212577279532e-08,3,spotify:track:3urHsuSN1wtFkqnRZskBev
214068,214068,302987.0,0.093,0.0249,-20.74,0.0463,0.513,0.805,0.0831,0.0365,79.369,1.5281183681148037e-07,3,spotify:track:4EcOBeGY1r0j26Z8FJ1nVZ
214069,214069,291027.0,0.563,0.413,-12.589,0.0268,0.0534,0.717,0.141,0.225,149.997,9.20876757139372e-08,0,spotify:track:47vFyxAv24QxAOfdMuE3oV
214070,214070,327013.0,0.145,0.226,-12.477,0.0391,0.964,0.743,0.116,0.076,79.679,1.195671120108375e-07,0,spotify:track:6wNOZqMjz75IhbQ2mZhTYB
214071,214071,215653.0,0.429,0.257,-11.497,0.0293,0.953,0.882,0.121,0.177,139.987,1.3586641502784568e-07,3,spotify:track:25ZeQyQtPFNJuavHgQbocP
214072,214072,297133.0,0.11,0.149,-15.095,0.0364,0.968,0.945,0.101,0.104,79.393,1.2250406383673304e-07,3,spotify:track:6SaIxk8jUJxMXjRrEypKrV
214073,214073,601933.0,0.178,0.0925,-17.0,0.0348,0.922,0.794,0.129,0.0382,105.133,5.7813743390045065e-08,3,spotify:track:7mvzqgsXeQvtPjFYTpJjUw
214074,214074,414467.0,0.387,0.402,-16.339,0.0368,0.232,0.83,0.679,0.0415,119.959,8.87887334817971e-08,3,spotify:track:20EVb6ImcubNHWKdIWuvZB
