Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
86180,86180,246627.0,0.693,0.919,-3.696,0.321,0.0861,0.0,0.384,0.79,91.363,1.3015606563758223e-06,1,spotify:track:2pgANJmWMhJUye8ksRS8vB
86181,86181,250253.0,0.755,0.632,-7.633,0.201,0.013,0.0,0.333,0.369,140.08,8.031871745793258e-07,1,spotify:track:1qmu5xCsK94pDzhNJCOoAz
86182,86182,236680.0,0.661,0.819,-2.15,0.263,0.0207,0.0,0.32,0.558,87.001,1.1112050025350686e-06,1,spotify:track:1xv16OOHQcYUiS0y8pU9Kx
86183,86183,289448.0,0.493,0.757,-5.238,0.332,0.467,5.45e-05,0.316,0.722,160.514,1.1470108620546696e-06,1,spotify:track:47im4z15sXA8sQxD16E0dY
86184,86184,228907.0,0.788,0.594,-4.864,0.336,0.0249,1.65e-05,0.0534,0.691,83.84,1.4678450200299689e-06,1,spotify:track:2MNQMtZbOb7rBWli3TSok0
86185,86185,316907.0,0.598,0.71,-5.947,0.263,0.209,0.00525,0.164,0.567,79.853,8.29896468048986e-07,1,spotify:track:3oBabM1KvZ4JHA97LtXeHw
86186,86186,228920.0,0.864,0.83,-4.708,0.0984,0.2,0.196,0.163,0.718,103.057,4.298444871570857e-07,1,spotify:track:3Zwotb5IampmdbITCc0wWg
86187,86187,223827.0,0.716,0.794,-4.441,0.261,0.00479,0.000789,0.0468,0.781,93.634,1.1660791593507486e-06,1,spotify:track:70fwL8BxBBR3YcOPo9iS2h
86188,86188,120893.0,0.571,0.774,-4.55,0.357,0.0257,0.000161,0.343,0.604,88.154,2.9530245754510186e-06,1,spotify:track:3drzUays77CGPmZEMEAiXT
86189,86189,262440.0,0.681,0.85,-5.471,0.196,0.13,0.0,0.124,0.351,90.151,7.468373723517757e-07,1,spotify:track:23vASD2uHKtRolS0HnfPgs
86190,86190,261893.0,0.525,0.587,-6.512,0.247,0.000851,0.0,0.306,0.411,127.562,9.431332643484172e-07,2,spotify:track:16PmZCCxEd7KheC4rmFP23
86191,86191,237027.0,0.797,0.814,-5.893,0.0999,0.0957,0.0,0.0304,0.79,99.86,4.214709716614563e-07,1,spotify:track:0ygqKbR9DGr2I9dXM4uJR4
86192,86192,217133.0,0.637,0.948,-4.295,0.394,0.217,0.0,0.105,0.71,98.29,1.8145560555051515e-06,1,spotify:track:3sZyQTk1DKnTKQ65r3Ah81
86193,86193,233173.0,0.879,0.626,-8.788,0.323,0.312,0.0,0.058,0.75,132.784,1.385237570387652e-06,1,spotify:track:5MnXRG5LzgSzdpIkg5nagT
86194,86194,253240.0,0.86,0.702,-8.412,0.234,0.0546,0.0,0.104,0.857,100.047,9.240246406570842e-07,1,spotify:track:3dT126FgdirenOn5aDXHBE
86195,86195,368867.0,0.744,0.769,-7.629,0.393,0.0355,3.66e-06,0.305,0.543,83.359,1.0654246652587518e-06,1,spotify:track:7aMYWlin1smmp645RgRYvo
86196,86196,661133.0,0.59,0.915,-6.275,0.784,0.028,1.6e-06,0.0839,0.109,172.936,1.1858430905733038e-06,2,spotify:track:3oSL5GUscsD3V4n7UeVoNT
86197,86197,224507.0,0.737,0.93,-4.749,0.245,0.102,0.0,0.19,0.66,100.038,1.0912800046323725e-06,1,spotify:track:7tu5qaPBGFaqUfhrKUP6M7
86198,86198,275373.0,0.509,0.952,-4.444,0.336,0.144,0.0,0.135,0.7,83.068,1.2201631968275758e-06,2,spotify:track:0vzb8Ii9B2fP9c0POFGPOZ
86199,86199,199440.0,0.549,0.913,-3.49,0.146,0.0026,0.0,0.26,0.669,154.957,7.320497392699558e-07,2,spotify:track:4O7oKy8YADaBrbehcPl0kE
86200,86200,302360.0,0.654,0.866,-3.318,0.151,0.236,0.0,0.306,0.505,85.488,4.99404683159148e-07,1,spotify:track:4xHQTdD5oItTLv0rTjM5XN
86201,86201,337760.0,0.561,0.774,-3.144,0.447,0.399,1.84e-06,0.189,0.82,77.621,1.3234249171009e-06,1,spotify:track:0eK5y1c7WDyWwx6k9SFjbT
86202,86202,226067.0,0.785,0.869,-5.746,0.289,0.00408,0.0,0.327,0.474,87.336,1.2783820725714058e-06,1,spotify:track:2AO4J6Moo7fULnHnzVxqjG
86203,86203,356000.0,0.929,0.734,-2.889,0.289,0.245,0.0,0.108,0.751,99.002,8.117977528089887e-07,1,spotify:track:23qpfRkkOK4IrbVxIHQQIC
86204,86204,235987.0,0.788,0.866,-4.929,0.285,0.000607,0.0,0.122,0.36,166.884,1.2076936441414144e-06,2,spotify:track:1C9WUWvIDCbP5cXZjF0f2l
86205,86205,221360.0,0.693,0.902,-2.539,0.329,0.0603,0.0,0.283,0.249,94.388,1.4862667148536322e-06,1,spotify:track:7th8A5iSeJgwJKv2Zj1cXD
86206,86206,237920.0,0.365,0.943,-5.274,0.474,0.219,0.0,0.39,0.456,177.919,1.99226630800269e-06,2,spotify:track:3VeW0pO2pae144rAX2oXPP
86207,86207,216133.0,0.822,0.832,-2.631,0.22,0.085,0.0,0.0711,0.756,93.178,1.0178917610915502e-06,1,spotify:track:3iQHtjDo1jgcbjUPsh3Dkb
86208,86208,177533.0,0.715,0.72,-5.112,0.294,0.0757,0.0,0.349,0.574,100.972,1.656030146507973e-06,1,spotify:track:5ZH3jZUpWDbBdgQWG7PhQ0
86209,86209,258800.0,0.609,0.97,-3.141,0.359,0.0972,0.0,0.165,0.652,81.978,1.3871715610510046e-06,2,spotify:track:5TtM7EHt6K1od2QDED7nKP
86210,86210,231760.0,0.824,0.51,-6.236,0.325,0.145,0.0,0.35,0.759,91.438,1.4023127373144634e-06,1,spotify:track:5aqngZ2nVJr7Yc0T9N5kgO
86211,86211,217000.0,0.757,0.907,-5.077,0.18,0.00684,0.0,0.253,0.677,99.087,8.294930875576037e-07,1,spotify:track:6xcztpu0UjeMQq7ksXaHHu
86212,86212,192067.0,0.705,0.925,-1.075,0.369,0.0477,0.0,0.236,0.633,190.075,1.9212045796518923e-06,2,spotify:track:5vnxlRCuiR1fzi4t8V1Qt9
86213,86213,265493.0,0.697,0.891,-3.296,0.441,0.0631,0.0,0.369,0.563,178.001,1.6610607435977597e-06,2,spotify:track:3CegiqcSMdRO8Acm2iplpx
86214,86214,287027.0,0.609,0.633,-3.873,0.214,0.0496,0.0,0.299,0.375,83.423,7.455744581520205e-07,1,spotify:track:5oPYJORvCovdLKdWI08U90
86215,86215,238200.0,0.806,0.809,-3.315,0.217,0.0537,0.0,0.0693,0.659,89.216,9.109991603694374e-07,1,spotify:track:2ThAbjQjYRanomt3qnKSV9
86216,86216,226027.0,0.6,0.664,-6.734,0.334,0.0764,0.0,0.0922,0.323,174.22,1.4776995668659054e-06,1,spotify:track:6DWdTk7UaZ6LIYYCFvmgX7
86217,86217,170893.0,0.505,0.792,-5.697,0.174,0.131,1.19e-06,0.654,0.595,91.63,1.018180967037854e-06,1,spotify:track:12QjVvrYlCH3vsViVfPN08
86218,86218,216107.0,0.614,0.851,-4.924,0.412,0.0664,0.0,0.126,0.889,81.535,1.906463002123948e-06,1,spotify:track:26Izh06V7txOWIEaPGd080
86219,86219,263040.0,0.808,0.774,-6.006,0.261,0.0946,0.0,0.0937,0.466,92.176,9.922445255474453e-07,1,spotify:track:0OtAcALQWU3ASePTpFTFXm
86220,86220,248707.0,0.71,0.861,-7.136,0.427,0.101,0.0,0.105,0.771,94.957,1.7168797018178016e-06,1,spotify:track:1AL8ay5GNI6cWeOzZl8NoD
86221,86221,251933.0,0.823,0.62,-8.002,0.329,0.000484,0.0,0.494,0.628,90.57,1.3059027598607566e-06,1,spotify:track:5IUceLAshLX0OSTAdSLcPv
86222,86222,331373.0,0.75,0.643,-8.642,0.407,0.056,0.0,0.339,0.815,96.849,1.2282231805246655e-06,1,spotify:track:6aTgvValaXNB0IaJHIPLMM
86223,86223,173333.0,0.901,0.401,-9.013,0.321,0.0495,0.0051,0.0947,0.567,89.99,1.8519266383204585e-06,1,spotify:track:20ZubgobJ4AeBg70OhGENM
86224,86224,131227.0,0.544,0.975,-2.904,0.38,0.0235,0.0,0.0725,0.52,175.669,2.895745540170849e-06,2,spotify:track:4O6OO8OtfMG8ZsCQhOOkmC
86225,86225,228627.0,0.699,0.869,-4.263,0.238,0.0118,0.0,0.0982,0.616,93.612,1.0409969076268331e-06,1,spotify:track:09wQdd0JQbkp9yKfRfwhjG
86226,86226,227800.0,0.907,0.641,-6.272,0.318,0.157,0.0,0.0816,0.498,96.817,1.3959613696224758e-06,1,spotify:track:6MzeC1EEq9TVkKgTCKtZ4V
86227,86227,206107.0,0.57,0.863,-4.424,0.407,0.0419,0.0,0.674,0.508,95.284,1.9747024603725246e-06,1,spotify:track:4Y35pKllR1S3hYJv0CNxx7
86228,86228,278040.0,0.751,0.634,-6.21,0.342,0.0325,0.0,0.0898,0.672,87.861,1.2300388433318949e-06,1,spotify:track:5jioQXYcNsR8hZHJ3znJOC
86229,86229,304973.0,0.871,0.581,-5.371,0.321,0.0298,0.0,0.0767,0.523,92.805,1.052552193144967e-06,1,spotify:track:7gkYQOsR1xsFOqXeys4sYA
86230,86230,228613.0,0.661,0.832,-4.938,0.408,0.0323,0.0,0.388,0.607,93.132,1.7846754121594133e-06,1,spotify:track:6LZnxCxeFDh8H2PvQGZmNR
86231,86231,281400.0,0.602,0.782,-6.47,0.249,0.125,0.0,0.189,0.654,79.862,8.848614072494669e-07,1,spotify:track:4Za5o41uSPxPDrAs66rTVc
86232,86232,295947.0,0.767,0.686,-6.219,0.281,0.259,0.0,0.0872,0.559,93.29,9.494943351343316e-07,1,spotify:track:7k5wUDeszcKTxh3fI1uVdM
86233,86233,215973.0,0.61,0.431,-6.73,0.294,0.03,0.0,0.099,0.463,136.878,1.3612812712700198e-06,1,spotify:track:5lrOsw7J8R7shum7A4j36t
86234,86234,223640.0,0.831,0.481,-5.497,0.384,0.00357,0.0,0.362,0.693,86.922,1.7170452512967268e-06,1,spotify:track:11VgxBuuNgaPpNZvRyCONl
86235,86235,218800.0,0.582,0.739,-6.197,0.349,0.0178,0.0,0.306,0.357,79.977,1.595063985374771e-06,1,spotify:track:0xBp653LGFv2kW4p4bcrZJ
86236,86236,266733.0,0.744,0.865,-4.661,0.35,0.0578,0.0,0.283,0.591,162.065,1.3121735968177915e-06,1,spotify:track:0R0zZnqPg7yOWb4PRmW8nC
86237,86237,158467.0,0.591,0.855,-8.339,0.339,0.00832,5.87e-05,0.771,0.78,136.734,2.1392466570326946e-06,1,spotify:track:47wZfF4OdME3xkIPhhpSSF
86238,86238,229107.0,0.569,0.894,-4.931,0.318,0.00715,0.0,0.158,0.293,188.892,1.3879977477772394e-06,2,spotify:track:5kDkWHFx0AEvJ1Pfm2i0ac
86239,86239,261400.0,0.873,0.652,-5.502,0.362,0.101,0.0,0.0674,0.936,95.144,1.384850803366488e-06,1,spotify:track:7ljzDeWWD7cBC6EGyh69An
86240,86240,235703.0,0.79,0.45,-7.571,0.195,0.335,0.0,0.125,0.273,98.064,8.273123379846672e-07,1,spotify:track:3LmuxO8mh3wwIfRUqHJFFy
86241,86241,218400.0,0.571,0.816,-7.677,0.299,0.108,0.0,0.119,0.647,85.586,1.369047619047619e-06,1,spotify:track:0DnAEATqCsgMDzeRCQ9OvE
86242,86242,221173.0,0.59,0.872,-6.007,0.377,0.0151,2.44e-06,0.295,0.617,84.332,1.704548023492922e-06,1,spotify:track:1oyz68YDgZbEdQ3lBDQROR
86243,86243,138667.0,0.768,0.548,-8.894,0.339,0.00232,3.34e-06,0.173,0.546,100.302,2.4447056617652364e-06,1,spotify:track:036e7ZO7Z855tmu6gKl7YH
86244,86244,275267.0,0.714,0.825,-4.286,0.266,0.326,0.0,0.0689,0.474,84.045,9.66334504317626e-07,1,spotify:track:5LyKcb3u3MqBjivliWaLVt
86245,86245,201320.0,0.75,0.812,-6.702,0.256,0.096,0.0,0.187,0.942,148.19,1.2716073912179615e-06,1,spotify:track:4voDl84hImSNrFKe7wmXKj
86246,86246,208728.0,0.53,0.754,-8.674,0.424,0.15,0.0,0.0699,0.561,159.677,2.0313518071365603e-06,1,spotify:track:7lJFAkuLq3wWIw1mUxlqob
86247,86247,309227.0,0.672,0.59,-9.843,0.428,0.134,0.0,0.0988,0.691,178.102,1.3840964728177035e-06,1,spotify:track:3DF1OtBQvEZTslUJtMfuWq
86248,86248,217753.0,0.577,0.815,-4.414,0.144,0.0308,0.0,0.388,0.332,89.166,6.612997295100411e-07,1,spotify:track:3yyi7xlygVmfN4N0C3mSnf
86249,86249,210172.0,0.472,0.823,-6.837,0.835,0.0473,3.31e-06,0.766,0.358,167.889,3.972936452048798e-06,1,spotify:track:1bD7QOKDKrKixoZkTgcvOF
86250,86250,227135.0,0.46,0.659,-5.015,0.188,0.0187,5.89e-06,0.122,0.193,129.133,8.277015871618201e-07,2,spotify:track:7A5AhgYmjPPyAvF6JKWHTJ
86251,86251,201691.0,0.585,0.792,-6.541,0.398,0.013,0.0,0.126,0.752,174.964,1.973315616462807e-06,1,spotify:track:3uza683tCeRtCkDzHyYcfZ
86252,86252,163161.0,0.493,0.932,-5.19,0.347,0.454,0.0,0.287,0.769,182.227,2.1267337170034505e-06,1,spotify:track:3gba96paCjWj1mooM2yLVo
86253,86253,273952.0,0.532,0.561,-10.686,0.236,0.03,0.0,0.091,0.104,139.987,8.614647821516178e-07,2,spotify:track:0uUNcxsc9J18exlTcUhVk6
86254,86254,215388.0,0.721,0.672,-5.865,0.146,0.301,0.00366,0.619,0.685,95.01,6.778464909837131e-07,1,spotify:track:3aF6c4ydyvmp7A0tYfM024
86255,86255,255853.0,0.742,0.695,-4.339,0.0484,0.0251,0.0,0.35,0.249,123.035,1.891711256072823e-07,1,spotify:track:1Y7zNrLqgBNgBSdrKT8DYv
86256,86256,269693.0,0.767,0.634,-8.752,0.481,0.0766,0.0,0.635,0.543,92.525,1.7835093977225956e-06,1,spotify:track:3uQBEzRsh0wsGjlR8V6Nwc
86257,86257,289427.0,0.698,0.602,-7.48,0.244,0.00433,0.000112,0.627,0.528,100.126,8.43045051083693e-07,1,spotify:track:2BQnBW7ZbEpLg009FohI1N
86258,86258,189267.0,0.776,0.596,-6.017,0.348,0.0197,0.0,0.2,0.437,88.927,1.8386723517570408e-06,1,spotify:track:3cuy0jpSxGAoTuJE0KORoR
